Row Labels,Count of skills
sql,8
python,7
tableau,6
r,4
excel,3
pandas,3
snowflake,3
gitlab,2
power bi,2
confluence,2
bitbucket,2
azure,2
numpy,2
aws,2
oracle,2
go,2
atlassian,2
jira,2
Grand Total,56
